"","pos","name","date","time","map"
"92","8","ace","03/09/15","42.561","0wnz3"
"312","2","ace","23/04/16","27.645","132tree"
"144","13","ace","09/02/15","92.748","1337"
"415","3","ace","04/12/14","19.670","1jumpmap"
"138","12","ace","28/10/17","8.303","2_race_r3"
"515","4","ace","15/07/16","68.089","3013"
"1111","10","ace","21/10/14","18.978","4c3jump1"
"716","6","ace","24/06/15","16.009","4c3jump3"
"619","5","ace","18/02/16","6.444","4mybros"
"719","6","ace","20/12/17","30.293","4race1"
"917","8","ace","05/02/16","36.932","4race2"
"918","8","ace","21/09/17","19.089","4race3"
"438","3","ace","07/05/17","55.017","4race4"
"529","4","ace","18/02/16","44.832","4race5"
"358","2","ace","04/03/16","60.973","4race6"
"535","4","ace","09/09/17","47.172","4race7"
"369","2","ace","05/01/18","38.343","4race8"
"732","6","ace","26/02/18","82.309","9000_2"
"635","5","ace","20/10/15","28.986","_fmj_a"
"927","8","ace","15/03/17","45.168","_jumplava"
"549","4","ace","08/06/15","16.935","_madjumping10"
"1129","10","ace","16/09/17","36.453","a2-01"
"3104","2","ace","23/05/17","27.802","a2-02-moonrace_1"
"738","6","ace","06/05/15","14.314","a2-03"
"557","4","ace","11/11/15","24.126","a2-04"
"740","6","ace","24/08/17","11.878","a2-05"
"644","5","ace","29/12/16","33.218","a2-06"
"937","8","ace","19/10/14","11.194","ac1_jump3"
"2150","1","ace","25/08/17","5.586","ac1_race1"
"570","4","ace","12/11/14","42.583","acejumps01"
"942","8","ace","11/06/15","12.318","acejumps02"
"574","4","ace","21/01/18","205.573","acejumps03"
"575","4","ace","21/01/18","12.277","acejumps04"
"576","4","ace","21/01/18","27.036","acejumps05"
"2158","1","ace","18/10/15","32.181","acejumps06"
"659","5","ace","01/11/15","82.661","acejumps07"
"4107","3","ace","09/09/15","13.079","acejumps08"
"1149","10","ace","24/03/15","18.357","acejumps09"
"950","8","ace","04/10/15","25.673","acejumps10"
"3148","2","ace","30/12/16","190.559","acejumps11"
"765","6","ace","28/02/15","30.270","acejumps12a"
"953","8","ace","12/04/15","24.360","acejumps13"
"668","5","ace","05/06/15","12.774","acejumps15"
"3152","2","ace","28/07/15","39.729","acejumps16"
"1156","10","ace","28/08/15","9.791","action"
"590","4","ace","17/06/15","8.516","action_big"
"674","5","ace","14/04/15","170.469","admintryouts"
"959","8","ace","03/05/15","17.777","adrace1"
"1357","12","ace","04/11/15","24.962","adrenjumps10"
"1259","11","ace","18/11/15","43.243","adrenjumps11"
"1359","12","ace","06/03/15","92.023","adrenjumps12"
"866","7","ace","08/01/18","23.822","adrenjumps14"
"966","8","ace","05/10/16","45.323","adrenjumps15a"
"782","6","ace","20/10/16","97.881","adrenjumps16"
"969","8","ace","20/02/18","34.283","adrenjumps18_fixed"
"970","8","ace","05/10/15","30.154","adrenjumps19"
"787","6","ace","10/02/15","28.851","adrenjumps21"
"788","6","ace","07/11/15","28.064","adrenjumps22"
"5123","4","ace","30/12/15","27.492","adrenjumps27"
"1571","14","ace","06/02/15","13.359","adrenjumps28"
"1080","9","ace","02/07/15","14.147","adrenjumps29"
"699","5","ace","11/08/15","34.423","adrenjumps3"
"4163","3","ace","11/04/16","5.206","adrenjumps30"
"798","6","ace","28/08/17","22.748","adrenjumps31"
"5130","4","ace","29/11/14","27.019","adrenjumps32"
"7100","6","ace","08/02/15","75.764","adrenjumps33"
"6104","5","ace","26/02/15","30.260","adrenjumps34"
"888","7","ace","11/04/16","19.354","adrenjumps35"
"988","8","ace","25/03/15","19.629","adrenjumps36"
"1089","9","ace","23/03/15","15.333","adrenjumps37"
"891","7","ace","24/03/15","24.873","adrenjumps38"
"6109","5","ace","25/03/15","18.499","adrenjumps39"
"5139","4","ace","24/08/17","23.794","adrenjumps40"
"5140","4","ace","03/09/17","19.251","adrenjumps41"
"896","7","ace","16/04/15","24.689","adrenjumps42"
"996","8","ace","08/05/15","27.771","adrenjumps43"
