"","pos","name","date","time","map"
"2","1","prd","11/11/16","104.703","0wnt"
"210","1","prd","08/08/16","34.238","0wnz"
"211","1","n00k!e","15/04/14","39.171","0wnz3"
"212","1","Lofas","14/07/13","26.202","132tree"
"214","1","n00k!e","07/02/15","68.253","1337"
"215","1","prd","31/10/17","52.736","1_race_r3"
"217","1","KroPP","16/05/14","27.047","1_splj_r3"
"218","1","Goblin","15/04/17","19.610","1jumpmap"
"220","1","prd","06/05/16","7.900","2_race_r3"
"225","1","n00k!e","16/06/14","27.826","2towers"
"227","1","prd","14/07/16","66.521","3013"
"229","1","Lofas","10/07/13","17.363","4c3jump1"
"230","1","Lofas","07/11/13","10.807","4c3jump2"
"239","1","Lofas","12/07/13","14.478","4c3jump3"
"240","1","Lofas","13/07/14","12.892","4c3jump4"
"250","1","Goblin","15/04/17","5.880","4mybros"
"260","1","KroPP","13/05/14","29.069","4race1"
"270","1","Lofas","30/01/16","33.316","4race2"
"280","1","n00k!e","22/04/15","18.649","4race3"
"290","1","n00k!e","28/05/14","50.814","4race4"
"2100","1","n00k!e","25/05/14","40.650","4race5"
"2101","1","KroPP","25/05/14","56.740","4race6"
"2102","1","Goblin","10/09/17","45.378","4race7"
"2103","1","Castro","16/07/15","38.264","4race8"
"2104","1","n00k!e","16/11/14","31.179","4race9"
"2105","1","Lofas","02/12/14","10.361","5secmap"
"2106","1","Killa","17/03/18","33.508","9000"
"2107","1","Goblin","09/10/17","61.614","9000_2"
"2108","1","Lofas","19/02/13","25.988","_fmj_a"
"2109","1","KroPP","08/03/14","32.055","_jumplava"
"2129","1","KroPP","07/05/14","16.231","_madjumping10"
"2131","1","n00k!e","02/12/15","33.258","a2-01"
"2133","1","prd","21/09/17","27.597","a2-02-moonrace_1"
"2135","1","n00k!e","24/09/17","14.062","a2-03"
"2137","1","n00k!e","12/11/15","23.573","a2-04"
"2139","1","Gob+apk+prokuro","26/12/17","7.452","a2-05"
"2141","1","n00k!e","20/12/15","32.275","a2-06"
"2142","1","prd","17/10/17","77.427","ac1_jump1"
"2143","1","OpkeZ","20/01/18","49.720","ac1_jump2"
"2144","1","prd","31/01/16","10.576","ac1_jump3"
"2146","1","prd","31/01/16","15.113","ac1_jump4"
"2148","1","Goblin","03/03/18","10.694","ac1_jump5"
"2150","1","ace","25/08/17","5.586","ac1_race1"
"2152","1","Goblin","21/10/17","28.285","acejumps01"
"2153","1","Lofas","03/08/15","11.506","acejumps02"
"2155","1","KroPP","16/01/15","99.733","acejumps03"
"2156","1","n00k!e","24/10/14","11.808","acejumps04"
"2157","1","n00k!e","09/11/14","25.182","acejumps05"
"2158","1","ace","18/10/15","32.181","acejumps06"
"2160","1","n00k!e","01/11/15","71.898","acejumps07"
"2162","1","n00k!e","09/09/15","12.284","acejumps08"
"2164","1","Killa","30/04/15","17.010","acejumps09"
"2166","1","Killa","09/03/18","22.392","acejumps10"
"2168","1","yogurt","12/05/17","182.123","acejumps11"
"2169","1","prd","29/11/15","29.613","acejumps12a"
"2171","1","prd","08/08/16","22.913","acejumps13"
"2172","1","Lofas","24/06/15","12.355","acejumps15"
"2174","1","prd","07/11/15","39.601","acejumps16"
"2176","1","Lofas","29/04/14","9.558","action"
"2178","1","Goblin","08/03/16","8.398","action_big"
"2180","1","n00k!e","28/09/17","21.647","adminjumps"
"2181","1","Lofas","18/04/15","21.980","admintryouts"
"2182","1","Goblin","20/09/17","17.223","adrace1"
"2184","1","KroPP","26/06/14","18.519","adrenjump2"
"2185","1","KroPP","01/07/14","52.061","adrenjumps1"
"2186","1","n00k!e","18/10/15","23.064","adrenjumps10"
"2188","1","prd","10/03/18","38.253","adrenjumps11"
"2190","1","Killa","25/09/12","48.533","adrenjumps12"
"2191","1","Lofas","22/08/15","26.757","adrenjumps13"
"2193","1","n00k!e","28/10/15","23.366","adrenjumps14"
"2195","1","Goblin","09/03/18","36.473","adrenjumps15a"
"2196","1","KroPP","07/10/12","72.557","adrenjumps16"
"2197","1","Lofas","16/02/15","43.593","adrenjumps17"
"2199","1","Goblin","26/12/17","33.043","adrenjumps18_fixed"
"2200","1","Killa","09/03/16","29.342","adrenjumps19"
"2201","1","ds.ads","11/11/12","25.751","adrenjumps20"
"2202","1","KroPP","14/09/15","25.640","adrenjumps21"
"2203","1","KroPP","15/11/12","25.837","adrenjumps22"
"2204","1","APKIS","08/05/15","36.874","adrenjumps23"
"2205","1","KroPP","22/12/15","23.265","adrenjumps24"
"2206","1","Lofas","18/11/15","15.335","adrenjumps25"
"2207","1","ds.ads","16/12/15","26.688","adrenjumps26"
"2208","1","n00k!e","24/04/14","26.520","adrenjumps27"
"2209","1","santher","26/04/14","12.783","adrenjumps28"
"2261","1","prd","13/11/15","13.762","adrenjumps29"
"2263","1","KroPP","25/06/14","29.241","adrenjumps3"
"2264","1","prd","17/01/16","5.154","adrenjumps30"
"2266","1","KroPP","16/11/14","21.689","adrenjumps31"
"2268","1","KroPP","30/11/14","26.219","adrenjumps32"
"2270","1","KroPP","22/02/15","65.974","adrenjumps33"
"2271","1","APKIS","23/02/15","27.441","adrenjumps34"
"2273","1","Castro","28/02/15","17.369","adrenjumps35"
"2274","1","KroPP","13/06/15","18.820","adrenjumps36"
"2276","1","KroPP","10/10/15","15.030","adrenjumps37"
"2278","1","KroPP","24/03/15","23.786","adrenjumps38"
"2280","1","Killa","28/03/15","17.965","adrenjumps39"
"2282","1","KroPP","17/11/12","24.454","adrenjumps4"
"2283","1","prd","06/11/16","22.669","adrenjumps40"
"2285","1","Lofas","13/04/15","16.389","adrenjumps41"
"2287","1","Killa","01/03/18","23.800","adrenjumps42"
"2289","1","prd","17/05/17","25.538","adrenjumps43"
"2291","1","n00k!e","09/11/15","26.814","adrenjumps44"
"2293","1","ace","10/10/17","20.639","adrenjumps45"
"2295","1","yogurt","13/09/17","29.362","adrenjumps46"
"2297","1","Lofas","09/05/15","19.174","adrenjumps47"
"2299","1","prd","20/08/17","18.268","adrenjumps48"
"2300","1","n00k!e","20/09/15","18.426","adrenjumps5"
"2301","1","n00k!e","28/08/14","21.084","adrenjumps6"
"2302","1","n00k!e","21/07/13","19.340","adrenjumps7"
"2303","1","Lofas","15/10/15","36.622","adrenjumps8_fixed"
"2304","1","Killa","02/03/18","18.779","adrenjumps9"
"2305","1","KroPP","16/12/12","66.791","adrqj1"
"2306","1","Killa","11/09/12","49.957","adrqj2"
"2307","1","KroPP","08/01/15","9.813","adrqj3"
"2308","1","APKIS","06/01/15","124.188","aj1"
"2309","1","n00k!e","20/09/15","35.706","aj2"
"2383","1","prd","04/01/17","21.758","aj3l"
"2385","1","prd","19/10/15","3.569","ajm"
"2387","1","Goblin","15/09/17","7.512","ajumpb"
"2389","1","ds.ads","29/01/14","24.198","akumamap1"
"2390","1","Lofas","27/05/14","19.291","akumamap2a"
"2392","1","prd","30/08/15","20.481","akumamap3"
"2394","1","KroPP","18/05/14","17.683","akumanoob1"
"2396","1","prd","16/10/17","16.130","akumanoob2a"
"2398","1","GreenJumper","22/06/14","10.002","akumanoob3b"
"2400","1","n00k!e","16/05/13","15.152","akumanoob4"
"2401","1","Lofas","23/07/15","9.266","aljump1"
"2402","1","KroPP","15/11/14","34.432","aljump10"
"2403","1","mule_0wnz","09/02/16","15.535","aljump11"
"2404","1","KroPP","01/03/16","34.908","aljump12"
"2405","1","APKIS","24/09/15","19.824","aljump14"
"2406","1","Castro","05/02/14","27.437","aljump15"
"2407","1","Skyline","04/08/13","22.241","aljump16"
"2408","1","n00k!e","20/05/14","15.062","aljump17"
"2409","1","prd","11/03/18","12.419","aljump18"
"2497","1","n00k!e","28/10/15","4.869","aljump19"
"2499","1","prd","16/01/18","14.740","aljump2"
"2500","1","n00k!e","22/09/17","9.073","aljump20"
"2501","1","a2ha","12/06/15","3.204","aljump21"
"2502","1","prd","04/07/15","2.411","aljump22"
"2503","1","prd","17/11/14","15.722","aljump23"
"2504","1","Goblin","19/11/17","9.845","aljump24"
"2505","1","APKIS","26/06/15","13.504","aljump25"
"2506","1","prd","02/11/16","6.181","aljump26"
"2507","1","n00k!e","25/02/14","8.972","aljump27"
"2508","1","OpkeZ","22/01/18","18.917","aljump28"
"2509","1","KroPP","30/08/15","14.927","aljump29"
"2600","1","Lofas","29/05/14","19.300","aljump3"
"2601","1","yogurt","27/12/17","27.982","aljump30"
"2602","1","Killa","14/03/18","12.644","aljump32"
"2603","1","ace","07/03/15","3.241","aljump4"
"2604","1","Lofas","16/07/14","6.711","aljump5"
"2605","1","Goblin","23/02/16","17.075","aljump7"
"2606","1","prd","13/06/16","13.324","aljump8"
"2607","1","}}Wetarded{{","03/10/17","51.690","aljumpjj"
"2608","1","Goblin","27/12/17","29.551","aljumpjjstrafe"
"2609","1","prd","11/01/16","3.293","aljumpnewb"
"2700","1","ds.ads","06/10/12","10.620","aljumpnoob3"
"2701","1","n00k!e","16/09/17","16.480","alrocket1"
"2702","1","KroPP","21/09/13","25.803","alt1"
"2703","1","KroPP","30/05/14","101.146","alt10b"
"2704","1","KroPP","20/07/13","114.853","alt11"
"2705","1","KroPP","23/02/14","61.290","alt12"
"2706","1","APKIS","25/10/15","40.379","alt13"
"2707","1","Goblin","11/09/17","32.207","alt14"
"2708","1","KroPP","30/05/14","64.635","alt15a"
"2709","1","KroPP","30/05/14","81.431","alt16"
"2800","1","KroPP","29/05/14","125.050","alt17"
"2801","1","n00k!e","09/03/14","196.905","alt18"
"2802","1","ace","12/02/17","33.019","alt19"
"2803","1","cr33pz","27/01/16","12.509","alt19_5"
"2804","1","Killa","20/01/18","14.455","alt2"
"2805","1","KroPP","06/07/15","63.220","alt20"
"2806","1","n00k!e","14/12/15","26.806","alt3"
"2807","1","Killa","07/02/18","13.401","alt4"
"2808","1","Goblin","03/03/18","29.800","alt5"
"2809","1","n00k!e","30/09/17","55.550","alt6"
"2900","1","n00k!e","04/02/14","20.870","alt7"
"2901","1","Killa","10/03/18","24.755","alt8"
"2902","1","KroPP","22/07/13","25.680","alt9"
"2903","1","KroPP","02/11/14","16.741","amazing"
"2904","1","Lofas","30/12/13","16.976","ancientgouki"
"2905","1","ds.ads","29/01/14","33.347","ancientgouki2"
"2906","1","prd","11/09/16","13.630","ancientgouki3"
"2907","1","ace","21/06/15","34.092","ancientgouki4"
"2908","1","Lofas","21/02/13","24.543","ancientgouki5"
"2909","1","Killa","13/03/18","16.289","ancientgouki5b"
"21000","1","prd","25/11/16","27.448","ancientgouki6"
"21001","1","Zod","28/12/17","18.247","ancientgouki7"
"21002","1","KroPP","07/11/12","109.876","ancientgouki8"
"21003","1","Caboom","29/12/17","234.017","ancientgoukimax"
"21004","1","KroPP","30/05/14","24.122","anime1"
"21005","1","KroPP","10/04/13","9.542","anime10"
"21006","1","Killa","08/05/14","15.184","anime11"
"21007","1","Castro","09/02/16","15.892","anime12"
"21008","1","Killa","30/01/18","18.575","anime13"
"21009","1","Killa","30/01/18","21.362","anime14"
"21010","1","KroPP","31/05/14","114.844","anime15"
"21011","1","KroPP","23/11/14","42.855","anime16"
"21012","1","KroPP","26/08/15","20.544","anime2"
"21013","1","Killa","27/01/18","27.208","anime3"
"21014","1","Lofas","24/02/13","53.515","anime4"
"21015","1","KroPP","06/06/14","42.575","anime5"
"21016","1","Killa","29/01/18","19.172","anime6"
"21017","1","ds.ads","10/11/15","21.934","anime7"
"21018","1","Killa","30/01/18","20.125","anime8"
"21019","1","Killa","17/02/18","39.920","anime9"
"21020","1","Castro","24/01/16","18.564","aodjump1"
"21021","1","cr33pz","23/04/14","10.716","aodjump2"
"21022","1","n00k!e","17/05/13","16.994","apkisjump1"
"21023","1","fish","06/11/13","27.230","apkisjump2"
"21024","1","KroPP","09/04/15","60.706","apkisjump3"
"21025","1","santher","26/08/12","25.444","apkisjump5"
"21026","1","KroPP","02/12/14","77.576","apocalypse"
"21027","1","n00k!e","20/04/14","31.738","apocalypse10"
"21028","1","KroPP","25/02/14","101.373","apocalypse11"
"21029","1","Lofas","15/02/14","5.875","apocalypse12"
"21030","1","}}Wetarded{{","05/10/17","42.022","apocalypse13"
"21031","1","Lofas","03/04/14","24.564","apocalypse14"
"21032","1","Lofas","15/07/13","13.607","apocalypse15"
"21033","1","KroPP","15/10/13","61.361","apocalypse16"
"21034","1","EnZ","05/06/13","87.153","apocalypse17"
"21035","1","mule_0wnz","04/01/18","39.834","apocalypse18"
"21036","1","Killa","14/09/12","41.387","apocalypse19"
"21037","1","KroPP","22/06/14","47.457","apocalypse20"
"21038","1","Goblin","02/03/18","47.763","apocalypse21"
"21039","1","Lofas","10/05/15","15.298","apocalypse22"
"21040","1","prd","21/12/17","61.365","apocalypse23"
"21041","1","KroPP","02/12/14","106.695","apocalypse24"
"21042","1","KroPP","03/12/14","252.564","apocalypse25"
"21043","1","KroPP","03/12/14","83.017","apocalypse26"
"21044","1","KroPP","03/12/14","233.582","apocalypse27"
"21045","1","KroPP","28/06/14","10.593","apocalypse28"
"21046","1","ds.ads","11/03/14","15.145","apocalypse28a"
"21047","1","KroPP","04/12/14","92.697","apocalypse29"
"21048","1","prd","17/03/16","24.377","apocalypse2b"
"21049","1","Lofas","16/10/13","25.703","apocalypse3"
"21050","1","KroPP","27/06/14","411.501","apocalypse30"
"21051","1","KroPP","07/07/14","17.423","apocalypse31"
"21052","1","KroPP","21/05/14","34.423","apocalypse32"
"21053","1","KroPP","22/03/16","25.254","apocalypse33"
"21054","1","santher","04/08/12","44.976","apocalypse34"
"21055","1","ds.ads","03/03/18","9.101","apocalypse35"
"21056","1","n00k!e","24/11/15","32.923","apocalypse36"
"21057","1","Lofas","06/12/15","99.221","apocalypse37"
"21058","1","Goblin","24/01/18","88.237","apocalypse38"
"21059","1","KroPP","24/04/13","30.043","apocalypse39"
"21060","1","KroPP","25/06/14","100.215","apocalypse4"
"21061","1","KroPP","25/06/14","79.437","apocalypse40"
"21062","1","KroPP","24/12/14","124.747","apocalypse41"
"21063","1","KroPP","10/04/15","87.059","apocalypse42"
"21064","1","n00k!e","18/06/14","10.001","apocalypse43"
"21065","1","KroPP","29/11/14","44.799","apocalypse44"
"21066","1","n00k!e","20/09/15","10.134","apocalypse45"
"21067","1","KroPP","24/06/14","178.225","apocalypse46"
"21068","1","KroPP","02/01/16","24.617","apocalypse47"
"21069","1","KroPP","27/06/14","38.473","apocalypse48"
