"","pos","name","date","time","map"
"2","1","prd","11/11/16","104.703","0wnt"
"3","2","KroPP","07/08/13","106.957","0wnt"
"4","3","yogurt","18/09/17","125.277","0wnt"
"5","4","Nephi","05/02/17","133.391","0wnt"
"6","5","santher","17/03/12","141.499","0wnt"
"7","6","nbc.shadow_no","02/08/17","164.899","0wnt"
"8","7","masta","05/03/18","183.715","0wnt"
"9","8","ins","15/05/16","219.548","0wnt"
"10","9","zerosignal","23/02/18","223.233","0wnt"
"11","10","TeiOch^[tLk]","01/08/17","258.101","0wnt"
"12","11","}}Wetarded{{","29/09/17","270.084","0wnt"
"13","12","mordo","11/11/16","274.930","0wnt"
"14","13","PRO-kypop","26/06/15","285.374","0wnt"
"15","14","slugsk!e","24/10/12","379.143","0wnt"
"210","1","prd","08/08/16","34.238","0wnz"
"310","2","Lofas","15/05/13","34.426","0wnz"
"46","3","Castro","06/05/14","34.862","0wnz"
"51","4","n00k!e","13/04/13","34.991","0wnz"
"61","5","santher","15/04/12","35.393","0wnz"
"71","6","SqUiRt","19/11/14","35.733","0wnz"
"81","7","Beepbeep","15/05/13","35.740","0wnz"
"91","8","Killa","14/04/12","35.893","0wnz"
"101","9","Nephi","07/01/17","35.974","0wnz"
"111","10","yogurt","07/11/13","36.010","0wnz"
"121","11","_PLAY_","21/08/13","36.119","0wnz"
"131","12","Idaho","07/04/15","37.262","0wnz"
"141","13","masta","05/03/18","37.442","0wnz"
"151","14","mule_0wnz","20/09/15","37.506","0wnz"
"16","15","fish","07/11/13","37.944","0wnz"
"17","16","snake","14/04/12","38.173","0wnz"
"18","17","CodeBlack","30/04/14","39.456","0wnz"
"19","18","[3M.ROSS]","07/11/13","39.828","0wnz"
"20","19","quazilin","12/03/14","41.193","0wnz"
"21","20","&lt;&gt;","15/05/12","42.362","0wnz"
"22","21","EnZ","23/02/15","42.447","0wnz"
"23","22","Dusk","10/05/15","42.886","0wnz"
"24","23","g0rky","30/10/13","45.248","0wnz"
"25","24","CreePy^","08/08/16","46.818","0wnz"
"26","25","pr3zes","15/05/12","47.156","0wnz"
"27","26","}}Wetarded{{","28/01/13","49.363","0wnz"
"28","27","randy","12/04/14","49.933","0wnz"
"29","28","maq","17/06/15","51.863","0wnz"
"30","29","'OrangeTea'","02/10/12","57.716","0wnz"
"31","30","ToxicMonkey^MZC","10/04/12","58.179","0wnz"
"32","31","unit3D","23/02/15","60.096","0wnz"
"33","32","Wolfeh","17/06/15","61.098","0wnz"
"34","33","nevermore","25/06/12","62.189","0wnz"
"35","34","Bless","10/05/15","68.876","0wnz"
"36","35","[TURD]BURGER","30/10/13","72.072","0wnz"
"37","36","Rambler","24/07/16","72.175","0wnz"
"38","37","buzt3r","08/08/16","74.682","0wnz"
"39","38","cez","03/01/13","80.845","0wnz"
"40","39","cka3ka","13/04/13","98.270","0wnz"
"41","40","Plajjump","25/11/14","105.111","0wnz"
"42","41","Gx^djpoppz","08/05/16","105.126","0wnz"
"43","42","nbc.shadow_no","18/05/15","134.756","0wnz"
"44","43","zerosignal","31/12/17","167.042","0wnz"
"45","44","ins","23/05/16","239.273","0wnz"
"211","1","n00k!e","15/04/14","39.171","0wnz3"
"311","2","Stoner","25/12/15","39.763","0wnz3"
"47","3","santher","15/04/14","39.899","0wnz3"
"52","4","Castro","15/04/14","40.276","0wnz3"
"62","5","Killa","14/01/16","40.283","0wnz3"
"72","6","(MCS)Faderjok","25/04/14","40.399","0wnz3"
"82","7","mule_0wnz","14/01/16","41.041","0wnz3"
"92","8","ace","03/09/15","42.561","0wnz3"
"102","9","cr33pz","25/04/14","42.778","0wnz3"
"112","10","Idaho","21/09/17","42.959","0wnz3"
"122","11","_PLAY_","11/08/16","43.077","0wnz3"
"132","12","}}Wetarded{{","14/12/17","43.715","0wnz3"
"142","13","nbc.shadow_no","21/09/17","48.354","0wnz3"
"152","14","[3M.ROSS]","10/04/15","52.799","0wnz3"
"161","15","^WhIzArD^","03/09/15","60.258","0wnz3"
"171","16","zerosignal","14/12/17","66.673","0wnz3"
"181","17","Kr3w","14/01/16","294.340","0wnz3"
"212","1","Lofas","14/07/13","26.202","132tree"
"312","2","ace","23/04/16","27.645","132tree"
"410","3","Nubcake","17/06/15","29.253","132tree"
"53","4","^WhIzArD^","23/04/16","29.816","132tree"
"63","5","Castro","01/02/14","31.169","132tree"
"73","6","Idaho","17/06/15","31.617","132tree"
"83","7","MASZ_ESA?","15/01/16","31.681","132tree"
"93","8","yogurt","20/10/12","32.602","132tree"
"103","9","Julfisk","14/07/13","32.783","132tree"
"113","10","GreenJumper","09/08/14","32.840","132tree"
"123","11","g0rky","14/11/13","33.019","132tree"
"133","12","fish","08/05/16","33.415","132tree"
"143","13","quazilin","14/11/13","33.824","132tree"
"153","14","_PLAY_","22/09/12","34.988","132tree"
"162","15","l3m0n","22/01/17","35.529","132tree"
"172","16","[3M.ROSS]","14/07/13","35.616","132tree"
"182","17","CodeBlack","20/01/15","37.164","132tree"
"191","18","slugsk!e","08/05/12","37.360","132tree"
"201","19","Sanja","20/10/12","39.780","132tree"
"213","20","diaa","14/11/13","43.214","132tree"
"221","21","shpongle","14/11/13","43.685","132tree"
"231","22","Cleaner","30/01/18","44.943","132tree"
"241","23","PRO-kypop","02/05/17","45.728","132tree"
"251","24","kNoC","13/04/13","46.489","132tree"
"261","25","CreePy^","10/10/16","49.482","132tree"
"271","26","metzger","16/03/12","50.100","132tree"
"281","27","ins","06/01/18","50.406","132tree"
"291","28","nevermore","25/06/12","50.410","132tree"
"301","29","XCRZUHH","05/07/13","51.195","132tree"
"313","30","'OrangeTea'","22/06/12","51.699","132tree"
"321","31","&lt;&gt;","14/05/12","51.734","132tree"
"331","32","Prop","26/07/13","53.213","132tree"
"341","33","randy","07/04/14","54.411","132tree"
"351","34","Dusk","20/01/15","55.374","132tree"
"361","35","Johnson","17/10/12","56.255","132tree"
"371","36","}}Wetarded{{","25/01/18","57.543","132tree"
"381","37","Death_Jump","13/04/13","60.991","132tree"
"391","38","Beepbeep","08/11/12","61.246","132tree"
"401","39","adren","08/11/12","63.088","132tree"
"411","40","Don","04/11/14","65.497","132tree"
"421","41","cka3ka","28/01/13","73.889","132tree"
"431","42","zerosignal","29/08/17","75.629","132tree"
"441","43","Wolfeh","17/06/15","77.266","132tree"
"451","44","Yummiee!","05/07/13","82.111","132tree"
"461","45","Bless","14/12/14","89.312","132tree"
"471","46","baknd","16/03/12","90.999","132tree"
"48","47","Tofik","06/01/18","98.233","132tree"
"49","48","nbc.shadow_no","17/06/15","118.052","132tree"
"214","1","n00k!e","07/02/15","68.253","1337"
"314","2","(MCS)Faderjok","01/11/13","69.011","1337"
"412","3","cr33pz","10/02/15","69.312","1337"
"54","4","prd","14/07/16","69.561","1337"
"64","5","Killa","24/01/13","69.602","1337"
"74","6","neoxotb","07/12/12","69.870","1337"
"84","7","KroPP","30/12/12","69.901","1337"
"94","8","4Bidden","06/12/12","73.015","1337"
"104","9","75400379","28/12/17","73.455","1337"
"114","10","}}Wetarded{{","24/01/13","74.633","1337"
"124","11","santher","06/12/12","79.759","1337"
"134","12","Beepbeep","28/07/13","80.416","1337"
"144","13","ace","09/02/15","92.748","1337"
"154","14","DRK","06/12/12","102.938","1337"
"163","15","ins","28/12/17","122.551","1337"
"173","16","zerosignal","28/12/17","251.347","1337"
"215","1","prd","31/10/17","52.736","1_race_r3"
"315","2","ds.ads","18/11/12","52.933","1_race_r3"
"413","3","Castro","24/02/17","54.565","1_race_r3"
"55","4","santher","13/05/12","55.443","1_race_r3"
"65","5","Casper","09/11/14","56.047","1_race_r3"
"75","6","rl","14/02/17","56.059","1_race_r3"
"85","7","Cleaner","31/10/17","57.478","1_race_r3"
"95","8","}}Wetarded{{","04/05/13","58.590","1_race_r3"
"105","9","XtraGhost","31/10/17","59.611","1_race_r3"
"115","10","ins","23/01/18","59.977","1_race_r3"
"125","11","zerosignal","31/10/17","62.471","1_race_r3"
"135","12","a2ha","03/02/16","62.728","1_race_r3"
"145","13","Kr3w","16/01/16","63.375","1_race_r3"
"155","14","nbc.shadow_no","10/08/15","64.409","1_race_r3"
"164","15","maq","18/06/15","68.419","1_race_r3"
"174","16","'OrangeTea'","29/01/13","68.632","1_race_r3"
"183","17","greenz","03/02/16","94.807","1_race_r3"
"192","18","grigori","20/06/12","94.934","1_race_r3"
"202","19","ToxicMonkey^MZC","04/05/13","97.723","1_race_r3"
"216","20","shpongle","27/10/13","110.221","1_race_r3"
"222","21","Barry_Allen","17/02/18","153.853","1_race_r3"
"232","22","Johnson","18/11/12","219.805","1_race_r3"
"242","23","randy","28/12/13","287.994","1_race_r3"
"217","1","KroPP","16/05/14","27.047","1_splj_r3"
"316","2","RoN!N","16/05/14","30.021","1_splj_r3"
"414","3","ds.ads","12/11/12","30.342","1_splj_r3"
"56","4","SBL","17/07/14","31.502","1_splj_r3"
"66","5","yogurt","27/07/16","34.051","1_splj_r3"
"76","6","mordo","11/11/16","35.029","1_splj_r3"
"86","7","[3M.ROSS]","17/07/14","35.355","1_splj_r3"
"96","8","Sanja","12/11/12","35.782","1_splj_r3"
"106","9","'OrangeTea'","12/11/12","37.027","1_splj_r3"
"116","10","Cleaner","10/05/17","37.401","1_splj_r3"
"126","11","}}Wetarded{{","17/01/18","38.927","1_splj_r3"
"136","12","_PLAY_","10/05/17","40.814","1_splj_r3"
"146","13","Rambler","19/05/16","41.026","1_splj_r3"
"156","14","ToxicMonkey^MZC","10/05/17","58.020","1_splj_r3"
"165","15","Castro","17/07/14","60.618","1_splj_r3"
"175","16","zerosignal","22/01/18","81.769","1_splj_r3"
"184","17","cka3ka","23/12/14","96.593","1_splj_r3"
"193","18","Julfisk","14/06/13","174.220","1_splj_r3"
"218","1","Goblin","15/04/17","19.610","1jumpmap"
"317","2","prd","04/12/14","19.664","1jumpmap"
"415","3","ace","04/12/14","19.670","1jumpmap"
"510","4","KroPP","29/01/16","19.897","1jumpmap"
"610","5","APKIS","29/01/16","19.990","1jumpmap"
"79","6","Skyline","12/09/13","20.144","1jumpmap"
"87","7","Lofas","29/01/16","20.426","1jumpmap"
"97","8","MASZ_ESA?","29/01/16","20.538","1jumpmap"
"107","9","santher","29/07/12","20.664","1jumpmap"
"117","10","}}Wetarded{{","16/10/12","20.711","1jumpmap"
"127","11","rl","25/04/12","20.816","1jumpmap"
"137","12","GreenJumper","12/09/13","20.901","1jumpmap"
"147","13","_PLAY_","29/01/16","20.998","1jumpmap"
"157","14","cr33pz","26/10/13","21.008","1jumpmap"
"166","15","mule_0wnz","13/10/15","21.098","1jumpmap"
"176","16","Beepbeep","16/10/12","21.191","1jumpmap"
"185","17","EnZ","31/10/12","21.359","1jumpmap"
"194","18","SBL","30/06/14","21.383","1jumpmap"
"203","19","rav","23/04/14","21.567","1jumpmap"
"219","20","deadfroggy","19/03/15","21.571","1jumpmap"
"223","21","Nephi","30/07/17","21.629","1jumpmap"
"233","22","RoN!N","30/06/14","21.639","1jumpmap"
"243","23","[3M.ROSS]","03/02/14","21.768","1jumpmap"
"252","24","Nubcake","14/09/15","22.036","1jumpmap"
"262","25","^WhIzArD^","11/09/15","22.040","1jumpmap"
"272","26","Casper","09/07/12","22.081","1jumpmap"
"282","27","Voety","15/09/13","22.140","1jumpmap"
"292","28","ziomek","15/06/16","22.160","1jumpmap"
"302","29","snake","14/09/15","22.192","1jumpmap"
"318","30","fish","08/05/14","22.219","1jumpmap"
"322","31","mazze","29/01/16","22.298","1jumpmap"
"332","32","TeiOch^[tLk]","22/06/13","22.299","1jumpmap"
"342","33","quazilin","18/03/14","22.481","1jumpmap"
"352","34","baknd","20/10/13","22.542","1jumpmap"
"362","35","Kr3w","13/10/15","22.614","1jumpmap"
"372","36","ToxicMonkey^MZC","13/05/17","22.728","1jumpmap"
"382","37","'OrangeTea'","04/07/12","22.936","1jumpmap"
