"pos","name","date","time","map"
"1","prd","11/11/16","104.703","0wnt"
"2","KroPP","07/08/13","106.957","0wnt"
"3","yogurt","18/09/17","125.277","0wnt"
"4","Nephi","05/02/17","133.391","0wnt"
"5","Direktor","28/09/18","136.383","0wnt"
"6","santher","17/03/12","141.499","0wnt"
"7","nbc.shadow_no","02/08/17","164.899","0wnt"
"8","masta","05/03/18","183.715","0wnt"
"9","TeiOch^[tLk]","03/05/18","205.661","0wnt"
"10","ins","15/05/16","219.548","0wnt"
"11","zerosignal","23/02/18","223.233","0wnt"
"12","}}Wetarded{{","29/09/17","270.084","0wnt"
"13","mordo","11/11/16","274.930","0wnt"
"14","PRO-kypop","26/06/15","285.374","0wnt"
"15","slugsk!e","24/10/12","379.143","0wnt"
"1","prd","08/08/16","34.238","0wnz"
"2","Lofas","15/05/13","34.426","0wnz"
"3","Killa","30/11/18","34.691","0wnz"
"4","Castro","06/05/14","34.862","0wnz"
"5","n00k!e","13/04/13","34.991","0wnz"
"6","santher","15/04/12","35.393","0wnz"
"7","SqUiRt","19/11/14","35.733","0wnz"
"8","Beepbeep","15/05/13","35.740","0wnz"
"9","_PLAY_","21/12/18","35.827","0wnz"
"10","Nephi","07/01/17","35.974","0wnz"
"11","yogurt","07/11/13","36.010","0wnz"
"12","XtraGhost","30/11/18","36.403","0wnz"
"13","Idaho","07/04/15","37.262","0wnz"
"14","masta","05/03/18","37.442","0wnz"
"15","mule_0wnz","20/09/15","37.506","0wnz"
"16","fish","07/11/13","37.944","0wnz"
"17","snake","14/04/12","38.173","0wnz"
"18","Mako","26/03/18","38.602","0wnz"
"19","zerosignal","30/11/18","39.337","0wnz"
"20","CodeBlack","30/04/14","39.456","0wnz"
"21","[3M.ROSS]","07/11/13","39.828","0wnz"
"22","quazilin","12/03/14","41.193","0wnz"
"23","&lt;&gt;","15/05/12","42.362","0wnz"
"24","EnZ","23/02/15","42.447","0wnz"
"25","Dusk","10/05/15","42.886","0wnz"
"26","g0rky","30/10/13","45.248","0wnz"
"27","CreePy^","08/08/16","46.818","0wnz"
"28","pr3zes","15/05/12","47.156","0wnz"
"29","greedisgood210","29/09/18","49.311","0wnz"
"30","}}Wetarded{{","28/01/13","49.363","0wnz"
"31","randy","12/04/14","49.933","0wnz"
"32","ace","09/07/19","50.923","0wnz"
"33","maq","17/06/15","51.863","0wnz"
"34","'OrangeTea'","02/10/12","57.716","0wnz"
"35","ToxicMonkey^MZC","10/04/12","58.179","0wnz"
"36","unit3D","23/02/15","60.096","0wnz"
"37","Wolfeh","17/06/15","61.098","0wnz"
"38","Direktor","26/10/18","61.260","0wnz"
"39","nevermore","25/06/12","62.189","0wnz"
"40","Mehis","27/03/19","65.967","0wnz"
"41","bossmies","12/02/19","67.835","0wnz"
"42","Bless","10/05/15","68.876","0wnz"
"43","[TURD]BURGER","30/10/13","72.072","0wnz"
"44","Rambler","24/07/16","72.175","0wnz"
"45","buzt3r","08/08/16","74.682","0wnz"
"46","75400379","11/01/19","75.570","0wnz"
"47","cez","03/01/13","80.845","0wnz"
"48","cka3ka","13/04/13","98.270","0wnz"
"49","Barry_Allen","27/11/19","99.765","0wnz"
"50","Plajjump","25/11/14","105.111","0wnz"
"51","Gx^djpoppz","08/05/16","105.126","0wnz"
"52","Julfisk","31/05/19","131.694","0wnz"
"53","nbc.shadow_no","18/05/15","134.756","0wnz"
"54","ins","23/05/16","239.273","0wnz"
"1","n00k!e","15/04/14","39.171","0wnz3"
"2","Killa","23/05/18","39.473","0wnz3"
"3","Stoner","25/12/15","39.763","0wnz3"
"4","santher","15/04/14","39.899","0wnz3"
"5","Castro","15/04/14","40.276","0wnz3"
"6","(MCS)Faderjok","25/04/14","40.399","0wnz3"
"7","draxi","23/05/18","40.788","0wnz3"
"8","ace","23/05/18","40.838","0wnz3"
"9","mule_0wnz","14/01/16","41.041","0wnz3"
"10","_PLAY_","23/08/18","41.212","0wnz3"
"11","Beepbeep","23/08/18","42.119","0wnz3"
"12","cr33pz","25/04/14","42.778","0wnz3"
"13","Idaho","21/09/17","42.959","0wnz3"
"14","}}Wetarded{{","14/12/17","43.715","0wnz3"
"15","75400379","13/12/18","47.359","0wnz3"
"16","nbc.shadow_no","21/09/17","48.354","0wnz3"
"17","[3M.ROSS]","10/04/15","52.799","0wnz3"
"18","^WhIzArD^","03/09/15","60.258","0wnz3"
"19","zerosignal","14/12/17","66.673","0wnz3"
"20","Kr3w","14/01/16","294.340","0wnz3"
"1","Killa","26/07/19","25.353","132tree"
"2","Lofas","14/07/13","26.202","132tree"
"3","ace","23/04/16","27.645","132tree"
"4","zerosignal","26/07/19","28.924","132tree"
"5","ziomek","26/07/19","29.093","132tree"
"6","Nubcake","17/06/15","29.253","132tree"
"7","^WhIzArD^","23/04/16","29.816","132tree"
"8","Castro","01/02/14","31.169","132tree"
"9","bossmies","15/02/19","31.410","132tree"
"10","Idaho","17/06/15","31.617","132tree"
"11","MASZ_ESA?","15/01/16","31.681","132tree"
"12","yogurt","20/10/12","32.602","132tree"
"13","Julfisk","14/07/13","32.783","132tree"
"14","GreenJumper","09/08/14","32.840","132tree"
"15","g0rky","14/11/13","33.019","132tree"
"16","fish","08/05/16","33.415","132tree"
"17","quazilin","14/11/13","33.824","132tree"
"18","mordo","05/06/19","34.901","132tree"
"19","_PLAY_","22/09/12","34.988","132tree"
"20","l3m0n","22/01/17","35.529","132tree"
"21","[3M.ROSS]","14/07/13","35.616","132tree"
"22","CodeBlack","20/01/15","37.164","132tree"
"23","slugsk!e","08/05/12","37.360","132tree"
"24","Sanja","20/10/12","39.780","132tree"
"25","diaa","14/11/13","43.214","132tree"
"26","shpongle","14/11/13","43.685","132tree"
"27","nbc.shadow_no","26/07/19","44.803","132tree"
"28","Cleaner","30/01/18","44.943","132tree"
