"pos","name","date","time","map"
"1","prd","11/11/16","104.703","0wnt"
"1","mazze","06/10/21","33.632","0wnz"
"1","mazze","28/03/21","39.002","0wnz3"
"1","the_bill","30/06/21","25.173","132tree"
"1","dMnAiOuSDnUaSd","27/07/21","66.964","1337"
"1","mazze","11/07/21","51.832","1_race_r3"
"1","KroPP","16/05/14","27.047","1_splj_r3"
"1","dMnAiOuSDnUaSd","27/09/20","18.858","1jumpmap"
"1","Killa","31/07/21","7.451","2_race_r3"
"1","Goblin","02/11/19","27.466","2towers"
"1","Killa","12/10/18","65.569","3013"
"1","Killa","03/01/19","17.183","4c3jump1"
"1","Killa","06/02/19","10.417","4c3jump2"
"1","Killa","16/08/19","14.275","4c3jump3"
"1","Goblin","04/07/19","12.680","4c3jump4"
"1","Goblin","27/10/18","5.731","4mybros"
"1","KroPP","13/05/14","29.069","4race1"
"1","prd","15/01/19","33.198","4race2"
"1","dMnAiOuSDnUaSd","12/10/20","18.380","4race3"
"1","mazze","08/06/21","50.263","4race4"
"1","mazze","08/12/21","40.393","4race5"
"1","dMnAiOuSDnUaSd","03/09/20","56.034","4race6"
"1","mazze","11/12/21","44.938","4race7"
"1","Killa","07/09/19","37.002","4race8"
"1","n00k!e","16/11/14","31.179","4race9"
"1","Lofas","02/12/14","10.361","5secmap"
"1","dMnAiOuSDnUaSd","17/06/21","31.934","9000"
"1","mazze","20/11/20","61.300","9000_2"
"1","mazze","28/09/21","25.162","_fmj_a"
"1","KroPP","08/03/14","32.055","_jumplava"
"1","Goblin","10/05/18","15.825","_madjumping10"
"1","dMnAiOuSDnUaSd","16/10/20","32.668","a2-01"
"1","prd","21/09/17","27.597","a2-02-moonrace_1"
"1","dMnAiOuSDnUaSd","15/06/21","13.769","a2-03"
"1","n00k!e","12/11/15","23.573","a2-04"
"1","Goblin","10/11/20","11.350","a2-05"
"1","mazze","16/10/20","31.548","a2-06"
"1","mazze","27/06/20","65.434","ac1_jump1"
"1","Direktor","01/08/21","47.802","ac1_jump2"
"1","Killa","12/12/21","10.357","ac1_jump3"
"1","dMnAiOuSDnUaSd","17/12/20","15.006","ac1_jump4"
"1","mazze","27/06/20","9.730","ac1_jump5"
"1","kallu","03/01/21","5.526","ac1_race1"
"1","Goblin","21/10/17","28.285","acejumps01"
"1","Killa","21/02/19","11.407","acejumps02"
"1","dMnAiOuSDnUaSd","07/11/20","95.898","acejumps03"
"1","Killa","27/07/18","11.793","acejumps04"
"1","Goblin","07/11/19","19.800","acejumps05"
"1","mazze","09/07/21","31.799","acejumps06"
"1","n00k!e","01/11/15","71.898","acejumps07"
"1","Killa","22/02/19","12.076","acejumps08"
"1","Killa","21/08/21","16.901","acejumps09"
"1","kallu","07/09/21","20.667","acejumps10"
"1","Caboom","03/10/21","167.200","acejumps11"
"1","mazze","19/04/21","28.920","acejumps12a"
"1","Killa","09/09/20","22.665","acejumps13"
"1","Goblin","07/01/20","12.234","acejumps15"
"1","dMnAiOuSDnUaSd","18/06/21","39.368","acejumps16"
"1","mazze","02/01/21","9.298","action"
"1","mazze","02/01/21","8.190","action_big"
"1","n00k!e","28/09/17","21.647","adminjumps"
"1","Lofas","18/04/15","21.980","admintryouts"
"1","dMnAiOuSDnUaSd","18/04/21","17.067","adrace1"
"1","KroPP","26/06/14","18.519","adrenjump2"
"1","OpkeZ","11/01/21","33.485","adrenjumps1"
"1","n00k!e","18/10/15","23.064","adrenjumps10"
"1","prd","10/03/18","38.253","adrenjumps11"
"1","mazze","16/11/20","48.348","adrenjumps12"
"1","Lofas","22/08/15","26.757","adrenjumps13"
"1","dMnAiOuSDnUaSd","03/01/21","23.167","adrenjumps14"
"1","Killa","24/11/21","35.912","adrenjumps15a"
"1","KroPP","07/10/12","72.557","adrenjumps16"
"1","Goblin","23/08/18","42.849","adrenjumps17"
"1","dMnAiOuSDnUaSd","14/06/21","32.499","adrenjumps18_fixed"
"1","Killa","23/08/18","28.803","adrenjumps19"
"1","Goblin","17/03/18","24.494","adrenjumps20"
"1","dMnAiOuSDnUaSd","22/10/20","25.590","adrenjumps21"
"1","dMnAiOuSDnUaSd","11/01/21","25.402","adrenjumps22"
"1","mazze","11/01/21","36.138","adrenjumps23"
"1","Killa","06/08/18","22.754","adrenjumps24"
"1","Killa","01/03/21","15.237","adrenjumps25"
"1","dMnAiOuSDnUaSd","11/01/21","26.205","adrenjumps26"
"1","Killa","16/05/19","26.256","adrenjumps27"
"1","dMnAiOuSDnUaSd","15/12/20","12.665","adrenjumps28"
"1","kallu","23/09/21","13.645","adrenjumps29"
"1","Goblin","10/04/18","28.495","adrenjumps3"
"1","mazze","13/12/20","5.034","adrenjumps30"
"1","Killa","16/12/19","21.561","adrenjumps31"
"1","kallu","12/09/21","25.944","adrenjumps32"
"1","KroPP","22/02/15","65.974","adrenjumps33"
"1","APKIS","23/02/15","27.441","adrenjumps34"
"1","dMnAiOuSDnUaSd","19/01/21","17.333","adrenjumps35"
"1","Killa","08/05/18","18.750","adrenjumps36"
"1","mazze","06/08/21","14.935","adrenjumps37"
"1","KroPP","24/03/15","23.786","adrenjumps38"
"1","dMnAiOuSDnUaSd","03/08/20","17.931","adrenjumps39"
"1","yogurt","30/08/20","21.886","adrenjumps4"
"1","Killa","05/10/18","22.547","adrenjumps40"
"1","Killa","24/11/21","16.292","adrenjumps41"
"1","dMnAiOuSDnUaSd","12/01/21","23.768","adrenjumps42"
"1","dMnAiOuSDnUaSd","20/12/20","25.172","adrenjumps43"
"1","n00k!e","09/11/15","26.814","adrenjumps44"
"1","dMnAiOuSDnUaSd","12/08/20","20.453","adrenjumps45"
"1","yogurt","13/09/17","29.362","adrenjumps46"
"1","mazze","18/05/20","19.132","adrenjumps47"
"1","mazze","12/01/21","18.166","adrenjumps48"
"1","n00k!e","20/09/15","18.426","adrenjumps5"
"1","Killa","14/10/19","20.935","adrenjumps6"
"1","n00k!e","21/07/13","19.340","adrenjumps7"
"1","Lofas","15/10/15","36.622","adrenjumps8_fixed"
