pos,name,time,map,first,perc_from_first
1,prd,104.703,0wnt,104.703,0.00%
2,KroPP,106.957,0wnt,104.703,2.11%
3,yogurt,125.277,0wnt,104.703,16.42%
4,Nephi,133.391,0wnt,104.703,21.51%
5,Direktor,136.383,0wnt,104.703,23.23%
6,santher,141.499,0wnt,104.703,26.00%
7,nbc.shadow_no,164.899,0wnt,104.703,36.50%
8,masta,183.715,0wnt,104.703,43.01%
9,TeiOch^[tLk],205.661,0wnt,104.703,49.09%
10,ins,219.548,0wnt,104.703,52.31%
11,zerosignal,223.233,0wnt,104.703,53.10%
12,}}Wetarded{{,270.084,0wnt,104.703,61.23%
13,mordo,274.93,0wnt,104.703,61.92%
14,PRO-kypop,285.374,0wnt,104.703,63.31%
15,slugsk!e,379.143,0wnt,104.703,72.38%
1,prd,34.238,0wnz,34.238,0.00%
2,Lofas,34.426,0wnz,34.238,0.55%
3,Killa,34.691,0wnz,34.238,1.31%
4,Castro,34.862,0wnz,34.238,1.79%
5,n00k!e,34.991,0wnz,34.238,2.15%
6,santher,35.393,0wnz,34.238,3.26%
7,SqUiRt,35.733,0wnz,34.238,4.18%
8,Beepbeep,35.74,0wnz,34.238,4.20%
9,_PLAY_,35.827,0wnz,34.238,4.44%
10,Nephi,35.974,0wnz,34.238,4.83%
11,yogurt,36.01,0wnz,34.238,4.92%
12,XtraGhost,36.403,0wnz,34.238,5.95%
13,Idaho,37.262,0wnz,34.238,8.12%
14,masta,37.442,0wnz,34.238,8.56%
15,mule_0wnz,37.506,0wnz,34.238,8.71%
16,fish,37.944,0wnz,34.238,9.77%
17,snake,38.173,0wnz,34.238,10.31%
18,Mako,38.602,0wnz,34.238,11.31%
19,zerosignal,39.337,0wnz,34.238,12.96%
20,CodeBlack,39.456,0wnz,34.238,13.22%
21,[3M.ROSS],39.828,0wnz,34.238,14.04%
22,quazilin,41.193,0wnz,34.238,16.88%
23,&lt;&gt;,42.362,0wnz,34.238,19.18%
24,EnZ,42.447,0wnz,34.238,19.34%
25,Dusk,42.886,0wnz,34.238,20.17%
26,g0rky,45.248,0wnz,34.238,24.33%
27,CreePy^,46.818,0wnz,34.238,26.87%
28,pr3zes,47.156,0wnz,34.238,27.39%
29,greedisgood210,49.311,0wnz,34.238,30.57%
30,}}Wetarded{{,49.363,0wnz,34.238,30.64%
31,randy,49.933,0wnz,34.238,31.43%
32,maq,51.863,0wnz,34.238,33.98%
33,'OrangeTea',57.716,0wnz,34.238,40.68%
34,ToxicMonkey^MZC,58.179,0wnz,34.238,41.15%
35,unit3D,60.096,0wnz,34.238,43.03%
36,Wolfeh,61.098,0wnz,34.238,43.96%
37,Direktor,61.26,0wnz,34.238,44.11%
38,nevermore,62.189,0wnz,34.238,44.95%
39,Mehis,65.967,0wnz,34.238,48.10%
40,bossmies,67.835,0wnz,34.238,49.53%
41,Bless,68.876,0wnz,34.238,50.29%
42,[TURD]BURGER,72.072,0wnz,34.238,52.49%
43,Rambler,72.175,0wnz,34.238,52.56%
44,buzt3r,74.682,0wnz,34.238,54.15%
45,75400379,75.57,0wnz,34.238,54.69%
46,cez,80.845,0wnz,34.238,57.65%
47,cka3ka,98.27,0wnz,34.238,65.16%
48,Plajjump,105.111,0wnz,34.238,67.43%
49,Gx^djpoppz,105.126,0wnz,34.238,67.43%
50,nbc.shadow_no,134.756,0wnz,34.238,74.59%
51,ins,239.273,0wnz,34.238,85.69%
1,n00k!e,39.171,0wnz3,39.171,0.00%
2,Killa,39.473,0wnz3,39.171,0.77%
3,Stoner,39.763,0wnz3,39.171,1.49%
4,santher,39.899,0wnz3,39.171,1.82%
5,Castro,40.276,0wnz3,39.171,2.74%
6,(MCS)Faderjok,40.399,0wnz3,39.171,3.04%
7,draxi,40.788,0wnz3,39.171,3.96%
8,ace,40.838,0wnz3,39.171,4.08%
9,mule_0wnz,41.041,0wnz3,39.171,4.56%
10,_PLAY_,41.212,0wnz3,39.171,4.95%
11,Beepbeep,42.119,0wnz3,39.171,7.00%
12,cr33pz,42.778,0wnz3,39.171,8.43%
13,Idaho,42.959,0wnz3,39.171,8.82%
14,}}Wetarded{{,43.715,0wnz3,39.171,10.39%
15,75400379,47.359,0wnz3,39.171,17.29%
16,nbc.shadow_no,48.354,0wnz3,39.171,18.99%
17,[3M.ROSS],52.799,0wnz3,39.171,25.81%
18,^WhIzArD^,60.258,0wnz3,39.171,34.99%
19,zerosignal,66.673,0wnz3,39.171,41.25%
20,Kr3w,294.34,0wnz3,39.171,86.69%
1,Lofas,26.202,132tree,26.202,0.00%
2,ace,27.645,132tree,26.202,5.22%
3,Nubcake,29.253,132tree,26.202,10.43%
4,^WhIzArD^,29.816,132tree,26.202,12.12%
5,Castro,31.169,132tree,26.202,15.94%
6,bossmies,31.41,132tree,26.202,16.58%
7,Idaho,31.617,132tree,26.202,17.13%
8,MASZ_ESA?,31.681,132tree,26.202,17.29%
9,yogurt,32.602,132tree,26.202,19.63%
10,Julfisk,32.783,132tree,26.202,20.07%
11,GreenJumper,32.84,132tree,26.202,20.21%
12,g0rky,33.019,132tree,26.202,20.65%
13,fish,33.415,132tree,26.202,21.59%
14,quazilin,33.824,132tree,26.202,22.53%
15,_PLAY_,34.988,132tree,26.202,25.11%
16,l3m0n,35.529,132tree,26.202,26.25%
17,[3M.ROSS],35.616,132tree,26.202,26.43%
18,CodeBlack,37.164,132tree,26.202,29.50%
19,slugsk!e,37.36,132tree,26.202,29.87%
20,Sanja,39.78,132tree,26.202,34.13%
21,diaa,43.214,132tree,26.202,39.37%
22,shpongle,43.685,132tree,26.202,40.02%
