"","id","comps","comp_score","1st","2nd","3rd","4th","5th","score","name"
"86",85,0,0,0,0,0,0,0,0,"-|Major|-{IF}"
"384",383,2,0,0,0,0,0,0,0,"-=XEROX=-"
"10",9,0,0,0,0,0,0,0,0,"-31.N3O-"
"151",150,0,0,0,0,0,0,0,0,"-Kapo-"
"374",373,28,0,0,0,0,0,0,22,"-NomN"
"714",713,1,0,0,0,0,0,0,0,"-Qhm_zer0"
"391",390,4,0,0,0,0,0,0,0,"-RAW-"
"429",428,130,0,0,0,0,0,0,6,"-TheBest-"
"789",788,21,0,0,0,0,0,0,6,"!^ChOpPeR^!"
"917",916,1,0,0,0,0,0,0,0,"(6)ghost"
"237",236,406,0,10,31,37,24,28,3000,"(MCS)Faderjok"
"390",389,1,0,0,0,0,0,0,0,"(MCS)yogurt"
"617",616,1,0,0,0,0,0,0,0,"*abc_"
"91",90,0,0,0,0,0,0,0,0,"*agg--"
"612",611,1,0,0,0,0,0,0,0,"*Qhm*zer0!"
"835",834,1,0,0,0,0,0,0,0,","
"564",563,18,0,0,0,0,0,0,13,"."
"1101",1100,1,0,0,0,0,0,0,0,".race_11"
"948",947,72,0,0,0,0,4,3,226,":pP:Izanag"
"190",189,0,0,0,0,0,0,0,0,"?"
"199",198,0,0,0,0,0,0,0,0,"[.:vasched:.]"
"18",17,0,0,0,0,0,0,0,0,"[=r0x=]"
"119",118,0,0,0,0,0,0,0,0,"[=rOx=]"
"541",540,1901,0,4,53,74,116,96,10617,"[3M.ROSS]"
"88",87,0,0,0,0,0,0,0,0,"[AoF.eni]"
"120",119,0,0,0,0,0,0,0,0,"[bdj]_zer0"
"64",63,0,0,0,0,0,0,0,0,"[BrowseR]"
"554",553,5,0,0,0,0,0,0,0,"[BTF]blackpenta"
"994",993,6,0,0,0,0,0,0,0,"[BTF]Dead_Beat"
"242",241,7,0,0,0,0,0,0,0,"[BTF]MK-801"
"53",52,0,0,0,0,0,0,0,0,"[BuZz]"
"90",89,0,0,0,0,0,0,0,0,"[Clone]War"
"581",580,158,0,0,0,0,0,0,29,"[DARF]BALLS"
"1129",1128,1,0,0,0,0,0,0,0,"[DARF]JAY"
"26",25,0,0,0,0,0,0,0,0,"[eG]dOc"
"693",692,3,0,0,0,0,0,0,0,"[GLUR]_jB"
"112",111,0,0,0,0,0,0,0,0,"[ISR]DraGoN<G>"
"1041",1040,1,0,0,0,0,0,0,0,"[mAc]"
"155",154,0,0,0,0,0,0,0,0,"[MaG]Dave"
"669",668,1,0,0,0,0,0,0,0,"[MD]HaXch"
"826",825,2,0,0,0,0,0,0,0,"[NV]Poborovy_D"
"713",712,1,0,0,0,0,0,0,0,"[Q2EV]i<3JN"
"33",32,0,0,0,0,0,0,0,0,"[QWA]Dyri"
"11",10,0,0,0,0,0,0,0,0,"[Ramon]"
"50",49,0,0,0,0,0,0,0,0,"[RC]HaTuK"
"83",82,0,0,0,0,0,0,0,0,"[REV]Jonny8D"
"584",583,43,0,0,0,0,0,0,11,"[SARS]PONG"
"304",303,217,0,1,4,5,12,11,1208,"[sf]fasadin"
"105",104,0,0,0,0,0,0,0,0,"[SK8MASTER]"
"34",33,0,0,0,0,0,0,0,0,"[SoD]Gerdt"
"113",112,0,0,0,0,0,0,0,0,"[Sp0oN]"
"594",593,16,0,0,0,0,0,0,13,"[T9k]OxyTommy"
"1048",1047,12,0,0,0,0,0,0,25,"[tige]edvin"
"49",48,0,0,0,0,0,0,0,0,"[TNJ]÷åã"
"141",140,0,0,0,0,0,0,0,0,"[toostoned"
"580",579,256,0,0,0,1,1,0,222,"[TURD]BURGER"
"196",195,0,0,0,0,0,0,0,0,"[VM]Dwarf"
"43",42,0,0,0,0,0,0,0,0,"[VVV]*Go{}aZ"
"36",35,0,0,0,0,0,0,0,0,"[WCJ]uLiKo"
"48",47,0,0,0,0,0,0,0,0,"[Wishy]"
"127",126,0,0,0,0,0,0,0,0,"[XSTNC]Islayd"
"55",54,0,0,0,0,0,0,0,0,"[XSTNC]Metal"
"15",14,0,0,0,0,0,0,0,0,"[XTC]^NightWish"
"739",738,3,0,0,0,0,0,0,0,"^1B^2e^3r^4s^5e"
"78",77,0,0,0,0,0,0,0,0,"^Coke"
"546",545,1182,0,3,7,12,34,29,3364,"^WhIzArD^"
"914",913,1,0,0,0,0,0,0,0,"^WhIzArD^MZC"
"61",60,0,0,0,0,0,0,0,0,"_!_R@GO:IF"
"461",460,1,0,0,0,0,0,0,0,"____<^>"
"463",462,1,0,0,0,0,0,0,0,"___<^^^^>"
"462",461,1,0,0,0,0,0,0,0,"___<^^>"
"893",892,1,0,0,0,0,0,0,0,"_`"
"73",72,1,0,0,0,0,0,0,0,"_DOA_DEATH_JUMP"
"140",139,0,0,0,0,0,0,0,0,"_IF_Sn1p3r_"
"254",253,1,0,0,0,0,0,0,0,"_NOOB_"
"514",513,1,0,0,0,0,0,0,0,"_PL3Y_"
"215",214,1769,0,17,53,55,84,105,11022,"_PLAY_"
"211",210,27,0,0,1,2,3,5,211,"_SK3L3T0R_"
"574",573,1,0,0,0,0,0,0,0,"``"
"408",407,174,0,0,1,0,1,3,437,"{G}oo{F}"
"261",260,1889,0,11,41,69,62,92,8721,"}}Wetarded{{"
"448",447,3,0,0,0,0,0,0,0,"<''><"
"447",446,3,0,0,0,0,0,0,0,"<'><"
"444",443,2,0,0,0,0,0,0,0,"<^><"
"446",445,1,0,0,0,0,0,0,0,"<|||><"
"445",444,1,0,0,0,0,0,0,0,"<+><"
"268",267,2,0,0,0,0,0,0,0,"<<lol>"
"210",209,344,0,0,0,0,0,1,276,"<<lol>>"
"443",442,1,0,0,0,0,0,0,0,"<><"
"459",458,2,0,0,0,0,0,0,0,"<stinks><"
"54",53,0,0,0,0,0,0,0,0,"=D3luX="
"771",770,1,0,0,0,0,0,0,0,">ke>_Twz"
"517",516,1,0,0,0,0,0,0,0,">StayMotivated"
"681",680,2,0,0,0,0,0,0,0,"010"
"590",589,1,0,0,0,0,0,0,0,"0255"
"583",582,1,0,0,0,0,0,0,0,"0620"
"929",928,1,0,0,0,0,0,0,0,"0916"
"740",739,4,0,0,0,0,0,0,0,"1080p"
"118",117,0,0,0,0,0,0,0,0,"11"
"981",980,3,0,0,0,0,0,1,13,"123123"
"1066",1065,1,0,0,0,0,0,0,0,"1477"
"362",361,1,0,0,0,0,0,0,0,"15.000"
"109",108,0,0,0,0,0,0,0,0,"16v|mkuh"
"134",133,0,0,0,0,0,0,0,0,"187.mkuh"
"470",469,1,0,0,0,0,0,0,0,"1STPLACE"
"414",413,1,0,0,0,0,0,0,0,"2013"
"692",691,2,0,0,0,0,0,0,0,"2d.twinkie"
"776",775,2,0,0,0,0,0,0,0,"2dol'aH0"
"170",169,0,0,0,0,0,0,0,0,"2dope'"
"956",955,2,0,0,0,0,0,0,0,"2t"
"282",281,1,0,0,0,0,0,0,0,"30"
"1030",1029,1,0,0,0,0,0,0,0,"3683"
"1065",1064,1,0,0,0,0,0,0,0,"4032"
"711",710,1,0,0,0,0,0,0,0,"4051"
"716",715,1,0,0,0,0,0,0,0,"4B"
"355",354,154,0,0,4,7,6,9,821,"4Bidden"
"287",286,1,0,0,0,0,0,0,0,"50"
"288",287,1,0,0,0,0,0,0,0,"50.088"
"283",282,1,0,0,0,0,0,0,0,"50.136"
"1100",1099,5,0,0,0,0,0,0,0,"5006"
"593",592,2,0,0,0,0,0,0,0,"5404"
"996",995,1,0,0,0,0,0,0,0,"6142"
"673",672,294,0,1,6,10,25,16,1496,"75400379"
"856",855,1,0,0,1,0,0,0,20,"8======D"
"1055",1054,1,0,0,0,0,0,0,0,"8182"
"1043",1042,1,0,0,0,0,0,0,0,"8558"
"705",704,5,0,0,0,0,0,0,0,"8578"
"871",870,1,0,0,0,0,0,0,0,"8942"
"953",952,1,0,0,0,0,0,0,0,"9089"
"962",961,2,0,0,0,0,0,0,0,"9816"
"884",883,6,0,0,0,0,0,0,0,"a"
"466",465,1,0,0,0,0,0,0,0,"A.Hitler"
"744",743,741,0,6,11,24,29,38,4090,"a2ha"
"246",245,4,0,0,0,0,0,0,4,"AA"
"967",966,1,0,0,0,0,0,0,0,"aaaaaaadfghsdth"
"201",200,0,0,0,0,0,0,0,0,"abc"
"791",790,2,0,0,0,0,0,0,0,"AbuseAdmin"
"519",518,1,0,0,0,1,0,0,16,"Accelerator"
"631",630,1370,0,66,126,183,189,191,16258,"ace"
"1090",1089,1,0,0,0,0,0,0,0,"ace_backwards"
"853",852,1,0,0,0,0,0,0,0,"AceLOLSCLOL"
"159",158,0,0,0,0,0,0,0,0,"Acharliel"
"641",640,2,0,0,0,0,0,0,0,"aDi^^"
"421",420,5,0,0,0,0,0,0,14,"ADMIRAL"
"494",493,42,0,0,0,0,0,0,27,"adr1x"
"343",342,213,0,0,0,0,0,0,28,"adren"
"597",596,2,0,0,0,0,0,0,0,"aetminiplayer"
"897",896,8,0,0,0,1,0,0,36,"afit"
"582",581,1,0,0,0,0,0,0,0,"agent_Molder"
"940",939,1,0,0,0,0,0,0,0,"Ahres"
